,ind,preds,results,time
44,4655,[[    0.99002   0.0099772]],0,0.2676997184753418
45,4750,[[    0.97509    0.024906]],0,0.2588479518890381
46,4900,[[    0.99877   0.0012275]],0,0.2569735050201416
47,4955,[[    0.99946  0.00054435]],0,0.259249210357666
48,5051,[[          1  6.8063e-09]],0,0.2565286159515381
49,5104,[[     0.9997  0.00029661]],0,0.2418680191040039
50,5155,[[    0.99994  5.5209e-05]],0,0.2651381492614746
51,5256,[[    0.95533    0.044666]],0,0.2928142547607422
52,5404,[[    0.14194     0.85806]],1,0.2501678466796875
53,5455,[[    0.97673     0.02327]],0,0.2602555751800537
54,5653,[[    0.97118    0.028824]],0,0.26280713081359863
55,5803,[[          1  2.9635e-06]],0,0.26165223121643066
56,5953,[[     0.9995  0.00050293]],0,0.2665538787841797
57,6053,[[    0.99994  6.1389e-05]],0,0.25426459312438965
58,6154,[[    0.99998  1.7915e-05]],0,0.2738525867462158
59,6253,[[    0.99994  6.4328e-05]],0,0.2729756832122803
60,6303,[[          1  8.6533e-08]],0,0.27169084548950195
61,6403,[[          1  2.4419e-08]],0,0.3976922035217285
62,6453,[[          1  1.0041e-07]],0,0.47433042526245117
63,6603,[[          1  2.9512e-08]],0,0.28375792503356934
64,6801,[[          1  3.7269e-10]],0,0.26738476753234863
65,6853,[[    0.99995  5.2902e-05]],0,0.2675149440765381
66,6951,[[     0.9966   0.0033971]],0,0.27414941787719727
67,7008,[[          1  7.1505e-09]],0,0.2897794246673584
68,7151,[[    0.90935    0.090653]],0,0.29381799697875977
69,7254,[[    0.37846     0.62154]],1,0.2510251998901367
70,7347,[[          1  1.7816e-08]],0,0.2597942352294922
71,7401,[[    0.96317    0.036835]],0,0.3011000156402588
72,7551,[[          1  1.4717e-06]],0,0.32877278327941895
73,7701,[[    0.98081    0.019193]],0,0.3780517578125
74,7778,[[    0.99987  0.00012691]],0,0.3559095859527588
75,7853,[[   0.027989     0.97201]],1,0.2930300235748291
76,8020,[[    0.12814     0.87186]],1,0.27121496200561523
77,8147,[[    0.93753     0.06247]],0,0.3373744487762451
78,8247,[[    0.11575     0.88425]],1,0.43581080436706543
79,8353,[[    0.92603    0.073965]],0,0.34717798233032227
80,8501,[[    0.12804     0.87196]],1,0.5914316177368164
81,8646,[[    0.01418     0.98582]],1,0.5091617107391357
82,8796,[[   0.084069     0.91593]],1,0.3106811046600342
83,8851,[[    0.43595     0.56405]],1,0.25067973136901855
84,8946,[[ 0.00058921     0.99941]],1,0.2470400333404541
85,9153,[[    0.14609     0.85391]],1,0.2861061096191406
86,9270,[[   0.001325     0.99867]],1,0.2635183334350586
87,9351,[[  0.0027445     0.99726]],1,0.29798173904418945
88,9495,[[    0.93432    0.065682]],0,0.28092098236083984
89,9570,[[    0.99483   0.0051704]],0,0.2519969940185547
90,9645,[[    0.99985  0.00015165]],0,0.38468146324157715
91,9700,[[    0.99989  0.00010501]],0,0.3771321773529053
92,9795,[[    0.10217     0.89783]],1,0.4023616313934326
93,9870,[[     0.9732    0.026805]],0,0.5081145763397217
94,9945,[[    0.99948  0.00051514]],0,0.35348057746887207
95,10120,[[          1  9.9948e-11]],0,0.4377586841583252
96,10345,[[          1  7.0976e-14]],0,0.27715134620666504
97,10507,[[          1  6.0224e-07]],0,0.3047499656677246
98,10596,[[          1  1.2806e-08]],0,0.32335448265075684
99,10770,[[          1   3.164e-09]],0,0.2758617401123047
100,10895,[[    0.99935  0.00064558]],0,0.23219680786132812
101,10994,[[          1  7.7322e-14]],0,0.2559657096862793
102,11144,[[          1  4.2261e-06]],0,0.27403831481933594
103,11294,[[    0.42817     0.57183]],1,0.24326205253601074
104,11344,[[    0.97959    0.020414]],0,0.23328924179077148
105,11419,[[    0.99983  0.00016976]],0,0.2579216957092285
106,11569,[[    0.99999  6.3528e-06]],0,0.378734827041626
107,11645,[[          1  3.4691e-12]],0,0.47132372856140137
108,11744,[[    0.99993  7.2231e-05]],0,0.6058197021484375
109,11795,[[    0.93609     0.06391]],0,0.6875424385070801
110,11845,[[          1  4.4361e-09]],0,0.6640334129333496
111,11899,[[    0.99979  0.00021488]],0,0.6199369430541992
112,12044,[[    0.99999  1.1777e-05]],0,0.5583293437957764
113,12244,[[          1  3.7622e-06]],0,0.6391851902008057
114,12343,[[    0.99063   0.0093653]],0,0.8736135959625244
115,12443,[[    0.99985  0.00014776]],0,0.8198142051696777
116,12493,[[          1  5.9077e-07]],0,0.7029709815979004
117,12594,[[          1  8.0003e-17]],0,0.3625054359436035
118,12694,[[          1   1.846e-10]],0,0.27477312088012695
119,12793,[[          1  2.2008e-10]],0,0.24361729621887207
120,12905,[[          1   3.406e-07]],0,0.2644217014312744
121,13044,[[          1  2.5605e-07]],0,0.22907018661499023
122,13094,[[          1  1.0682e-06]],0,0.26186656951904297
123,13205,[[          1  7.8249e-09]],0,0.27775120735168457
124,13347,[[          1  3.6439e-15]],0,0.25475645065307617
125,13404,[[          1  2.5551e-18]],0,0.3015005588531494
126,13544,[[          1  6.3418e-11]],0,0.2517058849334717
127,13643,[[          1  2.1549e-16]],0,0.2751004695892334
128,13743,[[          1  6.8829e-13]],0,0.24444198608398438
129,13843,[[          1  1.6452e-12]],0,0.26108431816101074
130,13993,[[          1  2.4504e-06]],0,0.25359296798706055
131,14053,[[          1  4.8646e-06]],0,0.2606368064880371
132,14153,[[    0.99999   1.231e-05]],0,0.2604339122772217
