,ind,preds,results,time
99,10620,[[ 6.7431e-05     0.99993]],1,0.24682068824768066
100,10695,[[   0.010437     0.98956]],1,0.2807753086090088
101,10845,[[    0.17967     0.82033]],1,0.257291316986084
102,11051,[[          1  2.0121e-08]],0,0.2671525478363037
103,11151,[[    0.99978  0.00022227]],0,0.25852513313293457
104,11251,[[          1  2.0195e-09]],0,0.29749488830566406
105,11351,[[          1   9.178e-09]],0,0.26897525787353516
106,11494,[[    0.95281    0.047194]],0,0.2652716636657715
107,11550,[[    0.99722   0.0027848]],0,0.2560389041900635
108,11644,[[          1  2.0891e-06]],0,0.2653927803039551
109,11744,[[ 0.00011741     0.99988]],1,0.2788658142089844
110,11794,[[    0.19727     0.80273]],1,0.2966890335083008
111,11844,[[    0.14065     0.85935]],1,0.27446675300598145
112,11994,[[    0.27034     0.72966]],1,0.27596378326416016
113,12044,[[     0.1732      0.8268]],1,0.3040759563446045
114,12094,[[   0.049471     0.95053]],1,0.2900228500366211
115,12194,[[ 0.00035457     0.99965]],1,0.2709219455718994
116,12294,[[   0.057926     0.94207]],1,0.29230475425720215
117,12444,[[  0.0022399     0.99776]],1,0.2777535915374756
118,12650,[[   0.019049     0.98095]],1,0.2893211841583252
119,12755,[[ 0.00066726     0.99933]],1,0.26813817024230957
120,12843,[[    0.99992  7.8259e-05]],0,0.26693058013916016
121,12898,[[    0.15316     0.84684]],1,0.2684745788574219
122,13044,[[    0.88254     0.11746]],0,0.2519724369049072
123,13204,[[          1  1.6158e-06]],0,0.2709040641784668
124,13343,[[    0.99922  0.00078107]],0,0.330047607421875
125,13450,[[   0.074418     0.92558]],1,0.26159048080444336
126,13543,[[    0.99363   0.0063687]],0,0.2504873275756836
127,13594,[[ 9.1382e-05     0.99991]],1,0.2567634582519531
128,13693,[[    0.92244    0.077557]],0,0.2564554214477539
129,13797,[[    0.99992  8.4271e-05]],0,0.2594470977783203
130,13893,[[  0.0094146     0.99059]],1,0.26487207412719727
131,14003,[[    0.19155     0.80845]],1,0.28122925758361816
132,14103,[[  0.0014626     0.99854]],1,0.25928235054016113
133,14194,[[    0.99998   1.682e-05]],0,0.25867247581481934
134,14343,[[   0.032315     0.96769]],1,0.28769659996032715
135,14443,[[    0.94157    0.058434]],0,0.25962162017822266
136,14499,[[    0.85343     0.14657]],0,0.2594492435455322
137,14593,[[    0.99964  0.00036489]],0,0.266467809677124
138,14793,[[    0.27618     0.72382]],1,0.27129626274108887
